,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2022-03-31,2834504.7716403245,2964005.2900064634,3179398.112233317,2770011.00737655,2904361.22226495,237959.77744379683,161018.1014273743,316068.0727106317,237959.77744379683,161018.1014273743,316068.0727106317,0.0,0.0,0.0,3072464.5490841214
1,2022-04-30,2822362.225078249,2874426.284599618,3093602.0476494906,2764108.7685055053,2883021.204434253,158540.55954629558,86528.13719440206,228402.36689489774,158540.55954629558,86528.13719440206,228402.36689489774,0.0,0.0,0.0,2980902.7846245444
2,2022-05-31,2808080.1012103134,2915513.3338956856,3151037.278493671,2757684.234525545,2869790.2693990935,225413.83498362766,158316.0235071895,305855.8927189349,225413.83498362766,158316.0235071895,305855.8927189349,0.0,0.0,0.0,3033493.936193941
3,2022-06-30,2794773.52597266,2815569.6114681,3036207.7913959976,2750533.792075625,2848201.225325005,129880.88552075991,63972.13807552216,201494.1421561054,129880.88552075991,63972.13807552216,201494.1421561054,0.0,0.0,0.0,2924654.41149342
4,2022-07-31,2780423.0046122796,2483966.934428467,2696849.8200816177,2738351.9378980505,2834135.369017761,-193417.58409859755,-261103.85934663008,-120863.17900923322,-193417.58409859755,-261103.85934663008,-120863.17900923322,0.0,0.0,0.0,2587005.420513682
5,2022-08-31,2764391.862540498,2417388.719548685,2637996.358447693,2723728.440503051,2815254.8270281274,-238117.1815330954,-298780.7819425968,-181491.5337619736,-238117.1815330954,-298780.7819425968,-181491.5337619736,0.0,0.0,0.0,2526274.6810074025
6,2022-09-30,2746913.4907319914,2410788.776669082,2645894.3540906794,2702607.2667545006,2798873.4001244595,-218868.92951560664,-299863.6198382651,-128862.52283286769,-218868.92951560664,-299863.6198382651,-128862.52283286769,0.0,0.0,0.0,2528044.5612163846
7,2022-10-31,2726601.1874276204,2813282.7699946295,3070928.5511650397,2681502.5087536066,2779858.6096607605,222509.50180394878,128132.2703495182,314736.0808927451,222509.50180394878,128132.2703495182,314736.0808927451,0.0,0.0,0.0,2949110.689231569
8,2022-11-30,2706052.6083093216,2536334.6173115056,2768360.083994362,2659686.7270463766,2760132.1898433776,-48729.37967929072,-122979.98578691167,20909.421679574905,-48729.37967929072,-122979.98578691167,20909.421679574905,0.0,0.0,0.0,2657323.228630031
9,2022-12-31,2684639.249867662,2597280.7384427427,2845294.4049168825,2635752.805736979,2735402.4578230334,38968.867996322115,-60135.81823482555,130530.43683486874,38968.867996322115,-60135.81823482555,130530.43683486874,0.0,0.0,0.0,2723608.117863984
