,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
10,2023-01-31,2919260.9880588343,2051353.9129410936,3266496.5228959974,2653647.917248404,3116807.4548663553,-394505.6690535564,-859919.9809452995,-68371.75592565563,212388.0151283904,-2819.4507056958482,473934.54892394703,-606893.6841819468,-1206270.9394199073,-155662.33650652276,0.0,0.0,0.0,2524755.319005278
11,2023-02-28,2908402.8964499845,2141980.024071145,2607645.2426699586,2641329.0560385035,3111324.7114678184,-483646.4309182091,-983883.7269669491,-17011.249085762982,212388.01512631733,-2819.450704259627,473934.5489196845,-696034.4460445263,-1476199.9467347967,-69726.85952485495,0.0,0.0,0.0,2424756.4655317753
12,2023-03-31,2896455.8219710966,2612218.338645217,3740934.045110042,2622376.0449453043,3093094.93025083,57111.32167629474,-192805.2408736671,357275.20039650524,471323.61738737766,90375.76729867936,775309.4928328143,-414212.2957110828,-972025.8488121277,9261.466787651689,0.0,0.0,0.0,2953567.1436473913
13,2023-04-30,2883482.2299802797,2470316.663921578,3180822.2091636,2600074.088227646,3078130.02592793,-130431.0513618786,-617511.6224506866,284908.595431275,-390903.5841427501,-491115.3224032603,-46298.56654912931,260472.53278087155,-196128.58912700543,622335.9373779745,0.0,0.0,0.0,2753051.1786184013
14,2023-05-31,2869856.4209273015,2001661.1879217396,3058233.7761983653,2582790.8889075145,3059312.1446403028,-168396.9992252909,-591967.3379312183,327750.8944080641,77533.23705469284,-310898.7766784626,391361.11166825664,-245930.2362799837,-856194.1385590571,211246.20318807728,0.0,0.0,0.0,2701459.4217020106
15,2023-06-30,2855414.5174584016,2388198.1746664904,3126382.4011458843,2570185.345837435,3093032.4068760816,-62112.0772132781,-504418.055438921,249874.0939200573,471323.6173867965,90375.7672945103,775309.4928327559,-533435.6946000747,-1027077.1105171115,-132926.37693794386,0.0,0.0,0.0,2793302.4402451236
16,2023-07-31,2841275.913289174,2206990.5109223165,2904579.5469107414,2552921.162917833,3119754.830583124,-283167.2215731974,-753957.6082823316,37139.3437226073,-489096.708316459,-943958.6549181108,63845.498800540794,205929.4867432615,-363939.12926552433,614894.3581201454,0.0,0.0,0.0,2558108.6917159767
17,2023-08-31,2827988.0910545536,2225591.452933284,3057576.1504813605,2542383.68589105,3088604.0928645576,-393875.6861742358,-584519.2351249412,-35909.59818237287,42315.800096564904,-299087.2689351579,283786.7232410779,-436191.4862708006,-709625.7069150562,-105482.35328249284,0.0,0.0,0.0,2434112.404880318
18,2023-09-30,2814154.9285481656,1915767.7861429062,2795695.072388557,2533619.008532808,3041439.520361611,-736148.687933774,-1044010.173630743,-278726.3016521407,76439.62279556549,-298256.0977269886,523805.21887662204,-812588.3107293395,-1059857.9612848435,-129709.9936513278,0.0,0.0,0.0,2078006.2406143916
19,2023-10-31,2802059.506038016,2264760.5614569653,3379125.4552372764,2529282.690578508,3029071.114281996,318370.09010718,-272740.6307293316,457950.5509189291,212388.01512736818,-2819.4507030779278,473934.5489223397,105982.07497981186,-428819.53031247936,431885.9934046587,0.0,0.0,0.0,3120429.5961451964
20,2023-11-30,2792085.9883584874,2232808.337845214,2948481.8530933885,2524031.475829393,3024057.4133597612,-337829.4973816445,-862706.9866703713,163844.2990870485,42315.80009695242,-299087.26893377013,283786.7232418866,-380145.29747859703,-924247.1454267069,55049.93115838718,0.0,0.0,0.0,2454256.490976843
21,2023-12-31,2782056.3864341816,1699551.777873406,2845006.9709789394,2523157.4367769975,3013219.7483986956,-361949.5623095365,-600965.5619750916,148726.2926613366,-390903.5841433637,-491115.3224063979,-46298.566549531344,28954.021833827148,-358878.8133687328,471629.2611416241,0.0,0.0,0.0,2420106.824124645
22,2024-01-31,2772357.892173497,2129659.563651046,3144263.5526175033,2525098.8520500953,2999484.6503034057,-157378.15700438333,-486898.91726842773,252477.20378731535,77533.23705433944,-310898.77667877666,391361.11166777473,-234911.39405872283,-679874.352646357,28864.094368900063,0.0,0.0,0.0,2614979.7351691136
23,2024-02-29,2762774.857955301,2479483.277606839,3450251.4676815267,2523316.559641194,2981478.559851805,147324.7189969943,-188626.15621342562,409781.7931452034,42315.80009656482,-299087.2689337261,283786.7232413808,105008.9189004295,-358316.8795269905,377627.5908561103,0.0,0.0,0.0,2910099.5769522954
24,2024-03-31,2752953.1767434995,1793722.7118571084,2976626.7120823236,2502475.653490516,2973116.790707616,-228624.75063103903,-733052.6384300569,318070.63376229245,-390903.5841439685,-491115.3224084296,-46298.56655063697,162278.83351292944,-323551.2622852393,586061.6829121212,0.0,0.0,0.0,2524328.4261124604
25,2024-04-30,2743448.323957885,2239263.2271176972,2939653.6613826538,2491315.8122588275,2987094.694723498,-48035.12889427133,-461236.8330004173,293120.8071239665,212388.01512647717,-2819.450704224022,473934.548920051,-260423.1440207485,-623133.1807485332,223626.7076424596,0.0,0.0,0.0,2695413.195063614
26,2024-05-31,2733626.6427460834,1824770.0316366798,3066963.146846949,2481237.8987803706,3001538.5288732424,4789.8580475625295,-484655.6248660094,421094.9379484753,471323.6173867423,90375.76729473821,775309.4928287246,-466533.75933917967,-778223.2300732634,-22620.962683491627,0.0,0.0,0.0,2738416.500793646
27,2024-06-30,2724121.789960469,2172428.4081423176,3369681.124492259,2470608.3099231394,3001915.7197411777,17436.19752996907,-369334.31308182434,438390.1186587583,-390903.58414287947,-491115.3224038092,-46298.566549289375,408339.78167284856,-3518.8415154655477,679280.5306204839,0.0,0.0,0.0,2741557.9874904384
