,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2022-03-31,2826849.686383205,2938989.297187471,3239022.375459549,2738913.7610310004,2921557.827139,249871.93000774755,160573.2612194371,335878.9563463069,249871.93000774755,160573.2612194371,335878.9563463069,0.0,0.0,0.0,3076721.6163909524
1,2022-04-30,2812264.9694964103,2817429.848836003,3114781.4715475673,2731649.980312114,2895140.568914493,150073.25079968598,52057.922655389375,231717.29051341134,150073.25079968598,52057.922655389375,231717.29051341134,0.0,0.0,0.0,2962338.2202960965
2,2022-05-31,2797327.3931115307,2906122.139008453,3209464.4625159344,2725729.7782976623,2871945.6277091103,235790.98561337322,145864.85893198298,309476.79872951616,235790.98561337322,145864.85893198298,309476.79872951616,0.0,0.0,0.0,3033118.378724904
3,2022-06-30,2782951.674212831,2785939.5219460633,3058410.621770552,2714234.4994751634,2842487.797699582,130507.18783442791,50808.81294445541,211735.27254857396,130507.18783442791,50808.81294445541,211735.27254857396,0.0,0.0,0.0,2913458.8620472588
4,2022-07-31,2767299.169611978,2470534.990198689,2753046.7827255395,2703367.5844257195,2826875.556436912,-172516.47614965602,-248671.9573247684,-95876.56481053267,-172516.47614965602,-248671.9573247684,-95876.56481053267,0.0,0.0,0.0,2594782.693462322
5,2022-08-31,2751055.242801106,2394768.9545886037,2662130.141109398,2687243.489361519,2815749.5531366067,-227789.77607033736,-301155.6573855397,-144334.78417701842,-227789.77607033736,-301155.6573855397,-144334.78417701842,0.0,0.0,0.0,2523265.466730769
6,2022-09-30,2734051.717675117,2359241.6245385776,2678653.7204192,2669444.9385459004,2799541.303002415,-209718.61619315334,-310432.5868310256,-100977.19268056848,-209718.61619315334,-310432.5868310256,-100977.19268056848,0.0,0.0,0.0,2524333.1014819634
7,2022-10-31,2714939.171480887,2825455.7021250557,3092532.152288797,2651144.8146646265,2775496.4364702594,235762.05897765292,115263.97748232725,362405.61829585605,235762.05897765292,115263.97748232725,362405.61829585605,0.0,0.0,0.0,2950701.23045854
8,2022-11-30,2695608.3029288584,2484499.893885572,2784557.6512744115,2634214.9379552132,2758334.480350109,-60708.19997286903,-140939.28487845187,18110.359429513803,-60708.19997286903,-140939.28487845187,18110.359429513803,0.0,0.0,0.0,2634900.1029559895
9,2022-12-31,2675366.2197527066,2560653.1563486443,2889408.7148817885,2611592.329652213,2738857.0243705423,51448.82510380579,-59247.97909280298,159615.84524965915,51448.82510380579,-59247.97909280298,159615.84524965915,0.0,0.0,0.0,2726815.0448565125
