pickup_datetime,passenger_count,trip_distance,total_amount,duration,n_trips
2022-06-10,148219,197268.12,1639291.53,1260882.2666666666,105704
2022-06-11,148286,198756.57,1547437.07,1171560.9666666666,100824
2022-06-12,113393,154212.7,1170462.7,851006.75,77703
2022-06-13,132927,180024.71,1463061.5,1068383.2,97369
2022-06-14,140385,187659.91,1603056.28,1247160.35,102960
2022-06-15,145065,195567.6,1664005.49,1295293.9833333334,106637
2022-06-16,143898,195406.22,1665016.06,1301384.2166666666,106389
2022-06-17,142204,191647.78,1574046.88,1188515.816666667,102178
2022-06-18,142112,191618.03,1464187.23,1090180.933333333,96621
2022-06-19,117653,161989.89,1177950.03,819916.7333333333,79157
2022-06-20,115118,155480.55,1220287.11,865213.9833333333,81703
2022-06-21,135036,179048.99,1548660.92,1214249.7,99756
2022-06-22,137606,183421.2,1587045.5,1248640.2333333334,101616
2022-06-23,144428,196682.1,1661947.19,1290289.95,106343
2022-06-24,142919,191453.68,1570348.19,1191939.1333333333,101637
2022-06-25,147742,197733.42,1515910.17,1122690.85,99955
2022-06-26,105256,143315.38,1077573.55,759601.2666666667,72115
2022-06-27,116441,158155.91,1280225.02,934534.3333333334,85790
2022-06-28,129197,176229.43,1461833.65,1106132.683333333,95131
2022-06-29,132826,181775.74,1507852.18,1143347.1,98148
2022-06-30,129226,175016.11,1446184.24,1094295.55,94408
2022-07-01,118867,156823.59,1255197.31,914307.1,84164
2022-07-02,110989,142995.7,1060730.26,746027.2833333333,72834
2022-07-03,92924,122522.56,879336.63,598021.0833333334,60734
2022-07-04,77125,104195.56,747896.4500000001,507858.8666666666,51009
2022-07-05,108932,145327.23,1149625.24,820972.2,78241
2022-07-06,122259,161637.72,1316561.65,976663.05,87702
2022-07-07,126319,170319.29,1383746.96,1035210.5333333332,91217
2022-07-08,123426,163167.44,1318799.85,976849.2833333332,87341
2022-07-09,119525,165257.08,1219164.97,863473.7666666667,81016
2022-07-10,99999,138401.64,1007394.14,701785.3166666667,67734
2022-07-11,110527,150884.87,1199537.29,868057.0,80403
2022-07-12,129611,172510.35,1451587.05,1098600.3666666667,94915
2022-07-13,134519,180973.66,1522773.65,1160007.4833333334,98776
2022-07-14,135539,181727.64,1520411.73,1162220.5,98713
2022-07-15,130227,174999.48,1405252.47,1045166.6166666668,92197
2022-07-16,133663,179235.89,1361678.67,1008980.6333333332,89565
2022-07-17,106472,145267.93,1075718.78,769394.1666666666,71968
2022-07-18,110773,147304.17,1206166.35,887268.0,80476
2022-07-19,131004,175793.65,1471164.98,1111053.55,95977
2022-07-20,135666,179740.19,1535462.1,1183967.066666667,99186
2022-07-21,131993,174855.64,1496996.55,1156655.7833333334,96704
2022-07-22,129141,169598.88,1377582.89,1031396.3666666668,91562
2022-07-23,132693,174120.32,1333938.2,984302.95,88467
2022-07-24,109379,146838.26,1079920.84,753754.2,73575
2022-07-25,109060,145638.65,1177292.29,854975.4666666667,79282
2022-07-26,125185,171158.6,1412739.3,1066911.433333333,92036
2022-07-27,131948,179786.41,1500005.81,1147327.05,96989
2022-07-28,134748,179689.83,1504424.45,1152017.95,97523
2022-07-29,129270,169371.18,1393015.25,1050417.85,91190
2022-07-30,129082,171153.68,1298660.39,957739.55,85868
2022-07-31,103370,141561.85,1039511.29,736090.9,69830
2022-08-01,104601,140554.84,1118950.01,809208.5166666667,75469
2022-08-02,125274,167072.38,1381235.18,1028748.3333333334,91499
2022-08-03,127692,171596.68,1431873.42,1089963.3666666667,93572
2022-08-04,129012,171964.92,1447070.51,1106078.5,94307
2022-08-05,128182,169451.6,1361986.77,1009673.0333333332,89934
2022-08-06,133774,173997.03,1322935.66,966184.9166666666,88647
2022-08-07,104256,138038.99,1025280.97,722369.55,69640
2022-08-08,113076,149403.56,1190727.26,848684.8,81032
2022-08-09,130890,171761.64,1440060.46,1082519.3833333333,95204
2022-08-10,101042,134224.19,1097422.7,820453.7333333333,71724
2022-08-11,130740,175836.66,1467944.54,1127502.3666666667,95161
2022-08-12,126957,170509.77,1369534.25,1025404.4666666668,89633
2022-08-13,126426,167728.52,1269194.57,942779.8166666668,83661
2022-08-14,99349,134479.01,998737.53,713290.9666666667,66599
2022-08-15,105441,141553.86,1117120.05,801256.0333333333,75621
2022-08-16,119615,162835.93,1319956.68,977585.75,87477
2022-08-17,123287,166178.62,1368720.55,1032501.6333333332,89749
2022-08-18,124554,168548.13,1384019.63,1047884.5166666668,90562
2022-08-19,123447,163507.72,1315189.82,982874.9333333332,86516
2022-08-20,124407,165105.21,1262572.05,943221.4666666668,83149
2022-08-21,99985,135829.97,1008468.38,724959.65,67606
2022-08-22,103537,138432.33,1101720.14,789809.95,75242
2022-08-23,118874,159450.76,1301838.13,964119.1333333332,86754
2022-08-24,123841,165903.2,1367313.66,1030661.4,90057
2022-08-25,125143,167494.47,1380617.26,1044560.0333333332,90869
2022-08-26,125048,164403.6,1332854.61,996442.0666666668,88205
2022-08-27,128873,168729.28,1296472.71,968210.65,85935
2022-08-28,101103,137931.78,1023324.77,734863.45,68400
2022-08-29,102526,137452.32,1087942.46,782576.0333333333,74098
2022-08-30,120103,159225.63,1320095.56,991508.1,87984
2022-08-31,118133,157448.01,1306783.92,993810.4,85952
2022-09-01,119765,160520.24,1323578.98,1008871.4833333332,86907
2022-09-02,120627,159973.87,1269568.61,939517.7,84036
2022-09-03,122899,159043.44,1194037.82,875554.5333333333,79959
2022-09-04,108266,142053.88,1047070.8,750798.9333333333,70208
2022-09-05,88961,118133.74,862735.18,574712.8166666667,60266
