Fecha,Numero total de viajes,Numero total de pasajeros,Distancia total recorrida (mi),Ingreso total (USD),Duración total recorrido (min)
2022-06-09,108843,148895,197019.75,1701195.09,1341439.316666667
2022-06-10,105704,148219,197268.12,1639291.53,1260882.2666666666
2022-06-11,100824,148286,198756.57,1547437.07,1171560.9666666666
2022-06-12,77703,113393,154212.7,1170462.7,851006.75
2022-06-13,97369,132927,180024.71,1463061.5,1068383.2
2022-06-14,102960,140385,187659.91,1603056.28,1247160.35
2022-06-15,106637,145065,195567.6,1664005.49,1295293.9833333334
2022-06-16,106389,143898,195406.22,1665016.06,1301384.2166666666
2022-06-17,102178,142204,191647.78,1574046.88,1188515.816666667
2022-06-18,96621,142112,191618.03,1464187.23,1090180.933333333
2022-06-19,79157,117653,161989.89,1177950.03,819916.7333333333
2022-06-20,81703,115118,155480.55,1220287.11,865213.9833333333
2022-06-21,99756,135036,179048.99,1548660.92,1214249.7
2022-06-22,101616,137606,183421.2,1587045.5,1248640.2333333334
2022-06-23,106343,144428,196682.1,1661947.19,1290289.95
2022-06-24,101637,142919,191453.68,1570348.19,1191939.1333333333
2022-06-25,99955,147742,197733.42,1515910.17,1122690.85
2022-06-26,72115,105256,143315.38,1077573.55,759601.2666666667
2022-06-27,85790,116441,158155.91,1280225.02,934534.3333333334
2022-06-28,95131,129197,176229.43,1461833.65,1106132.683333333
2022-06-29,98148,132826,181775.74,1507852.18,1143347.1
2022-06-30,94408,129226,175016.11,1446184.24,1094295.55
2022-07-01,84164,118867,156823.59,1255197.31,914307.1
2022-07-02,72834,110989,142995.7,1060730.26,746027.2833333333
2022-07-03,60734,92924,122522.56,879336.63,598021.0833333334
2022-07-04,51009,77125,104195.56,747896.4500000001,507858.8666666666
2022-07-05,78241,108932,145327.23,1149625.24,820972.2
2022-07-06,87702,122259,161637.72,1316561.65,976663.05
2022-07-07,91217,126319,170319.29,1383746.96,1035210.5333333332
2022-07-08,87341,123426,163167.44,1318799.85,976849.2833333332
2022-07-09,81016,119525,165257.08,1219164.97,863473.7666666667
2022-07-10,67734,99999,138401.64,1007394.14,701785.3166666667
2022-07-11,80403,110527,150884.87,1199537.29,868057.0
2022-07-12,94915,129611,172510.35,1451587.05,1098600.3666666667
2022-07-13,98776,134519,180973.66,1522773.65,1160007.4833333334
2022-07-14,98713,135539,181727.64,1520411.73,1162220.5
2022-07-15,92197,130227,174999.48,1405252.47,1045166.6166666668
2022-07-16,89565,133663,179235.89,1361678.67,1008980.6333333332
2022-07-17,71968,106472,145267.93,1075718.78,769394.1666666666
2022-07-18,80476,110773,147304.17,1206166.35,887268.0
2022-07-19,95977,131004,175793.65,1471164.98,1111053.55
2022-07-20,99186,135666,179740.19,1535462.1,1183967.066666667
2022-07-21,96704,131993,174855.64,1496996.55,1156655.7833333334
2022-07-22,91562,129141,169598.88,1377582.89,1031396.3666666668
2022-07-23,88467,132693,174120.32,1333938.2,984302.95
2022-07-24,73575,109379,146838.26,1079920.84,753754.2
2022-07-25,79282,109060,145638.65,1177292.29,854975.4666666667
2022-07-26,92036,125185,171158.6,1412739.3,1066911.433333333
2022-07-27,96989,131948,179786.41,1500005.81,1147327.05
2022-07-28,97523,134748,179689.83,1504424.45,1152017.95
2022-07-29,91190,129270,169371.18,1393015.25,1050417.85
2022-07-30,85868,129082,171153.68,1298660.39,957739.55
2022-07-31,69830,103370,141561.85,1039511.29,736090.9
2022-08-01,75469,104601,140554.84,1118950.01,809208.5166666667
2022-08-02,91499,125274,167072.38,1381235.18,1028748.3333333334
2022-08-03,93572,127692,171596.68,1431873.42,1089963.3666666667
2022-08-04,94307,129012,171964.92,1447070.51,1106078.5
2022-08-05,89934,128182,169451.6,1361986.77,1009673.0333333332
2022-08-06,88647,133774,173997.03,1322935.66,966184.9166666666
2022-08-07,69640,104256,138038.99,1025280.97,722369.55
2022-08-08,81032,113076,149403.56,1190727.26,848684.8
2022-08-09,95204,130890,171761.64,1440060.46,1082519.3833333333
2022-08-10,71724,101042,134224.19,1097422.7,820453.7333333333
2022-08-11,95161,130740,175836.66,1467944.54,1127502.3666666667
2022-08-12,89633,126957,170509.77,1369534.25,1025404.4666666668
2022-08-13,83661,126426,167728.52,1269194.57,942779.8166666668
2022-08-14,66599,99349,134479.01,998737.53,713290.9666666667
2022-08-15,75621,105441,141553.86,1117120.05,801256.0333333333
2022-08-16,87477,119615,162835.93,1319956.68,977585.75
2022-08-17,89749,123287,166178.62,1368720.55,1032501.6333333332
2022-08-18,90562,124554,168548.13,1384019.63,1047884.5166666668
2022-08-19,86516,123447,163507.72,1315189.82,982874.9333333332
2022-08-20,83149,124407,165105.21,1262572.05,943221.4666666668
2022-08-21,67606,99985,135829.97,1008468.38,724959.65
2022-08-22,75242,103537,138432.33,1101720.14,789809.95
2022-08-23,86754,118874,159450.76,1301838.13,964119.1333333332
2022-08-24,90057,123841,165903.2,1367313.66,1030661.4
2022-08-25,90869,125143,167494.47,1380617.26,1044560.0333333332
2022-08-26,88205,125048,164403.6,1332854.61,996442.0666666668
2022-08-27,85935,128873,168729.28,1296472.71,968210.65
2022-08-28,68400,101103,137931.78,1023324.77,734863.45
2022-08-29,74098,102526,137452.32,1087942.46,782576.0333333333
2022-08-30,87984,120103,159225.63,1320095.56,991508.1
2022-08-31,85952,118133,157448.01,1306783.92,993810.4
2022-09-01,86907,119765,160520.24,1323578.98,1008871.4833333332
2022-09-02,84036,120627,159973.87,1269568.61,939517.7
2022-09-03,79959,122899,159043.44,1194037.82,875554.5333333333
2022-09-04,70208,108266,142053.88,1047070.8,750798.9333333333
2022-09-05,60266,88961,118133.74,862735.18,574712.8166666667
2022-09-06,81644,110106,141673.03,1250037.16,983177.3333333334
2022-09-07,97292,130652,174697.14,1523499.99,1214164.7333333334
2022-09-08,99622,135082,179867.19,1578360.76,1279902.9
2022-09-09,101322,139644,187548.1,1592535.68,1262145.3666666667
2022-09-10,95058,138620,185535.42,1492710.78,1181871.0
2022-09-11,79944,114294,158232.53,1213358.34,894771.1833333333
2022-09-12,88954,119165,161373.69,1369143.74,1055489.7166666666
2022-09-13,98416,129409,175256.35,1547394.57,1237980.5833333333
2022-09-14,99716,132266,180336.79,1576621.62,1259544.5166666666
2022-09-15,102765,136054,187975.3,1626474.55,1297496.2666666666
2022-09-16,101574,140655,187216.6,1595591.83,1263606.25
2022-09-17,49765,69591,99780.17,763433.98,559447.8
2022-09-18,4174,4515,9642.36,79765.21,56612.28333333333
2022-09-19,82982,110944,147566.01,1280342.33,1000315.8833333332
2022-09-20,80742,107579,140875.7,1269216.49,1014843.1166666668
2022-09-21,75548,100180,129842.21,1185567.02,952487.55
2022-09-22,83712,111352,146136.0,1303826.66,1024116.5
2022-09-23,95049,131023,171755.03,1473658.49,1145560.7333333334
2022-09-24,97138,141324,187717.13,1498019.2,1156995.7666666666
2022-09-25,78566,112740,153462.25,1170352.8,838051.0166666667
2022-09-26,78511,109116,144401.05,1156092.91,820325.0333333333
2022-09-27,94250,126480,173663.78,1432924.46,1062390.15
2022-09-28,100636,134002,180647.27,1576667.21,1245652.0
2022-09-29,102364,137260,183712.34,1619849.25,1300200.2833333334
2022-09-30,100891,139621,184385.94,1569973.61,1228031.7166666666
2022-10-01,99458,144260,186714.56,1504981.51,1143662.0
2022-10-02,74864,107591,141873.43,1101897.02,805843.3666666667
2022-10-03,89781,119434,155522.88,1348667.04,1033043.3666666668
2022-10-04,91186,121422,157414.27,1391859.57,1080195.1166666667
2022-10-05,97130,132371,173398.54,1459456.57,1074351.8
2022-10-06,97654,130166,173912.63,1541292.13,1241692.05
2022-10-07,99854,138371,181934.45,1570328.5,1246486.2666666666
2022-10-08,99808,146357,189858.77,1546443.89,1210090.75
2022-10-09,74494,108553,146667.42,1141518.18,853093.8666666667
2022-10-10,73965,102944,138885.99,1080361.88,775615.4166666666
2022-10-11,96942,130253,175922.22,1505654.13,1167211.1
2022-10-12,100890,135659,181490.81,1586004.46,1259965.4666666666
2022-10-13,103212,137534,181387.87,1624779.79,1313115.95
2022-10-14,102782,141952,186764.28,1604314.29,1268811.7
2022-10-15,103581,151167,200834.31,1614796.85,1266465.2333333334
2022-10-16,85789,122642,171914.44,1300946.86,954779.8666666668
2022-10-17,90865,122865,164270.81,1373512.63,1023034.6666666666
2022-10-18,101696,135643,182353.22,1584787.63,1237030.3833333333
2022-10-19,104804,138763,186278.84,1655491.38,1321991.5833333333
2022-10-20,106514,141526,190426.3,1673856.12,1337995.2833333334
2022-10-21,104492,144563,189656.43,1629928.32,1280312.6166666667
2022-10-22,106698,154815,208173.72,1654881.0,1281374.2833333334
2022-10-23,83730,119802,164672.07,1265352.82,924951.0833333334
