,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2022-03-31,2831031.1949092955,2974395.254131643,3187090.4733075257,2770553.13393145,2881532.55901525,245815.72686954393,179526.40690104594,315233.8696587723,245815.72686954393,179526.40690104594,315233.8696587723,0.0,0.0,0.0,3076846.9217788395
1,2022-04-30,2816717.305208451,2874653.3354505803,3076085.092647271,2762007.0978412395,2863936.285679547,157859.15511258566,95710.40859826369,226366.15960746052,157859.15511258566,95710.40859826369,226366.15960746052,0.0,0.0,0.0,2974576.4603210366
2,2022-05-31,2801254.083385561,2926534.017833669,3119219.0783711965,2755313.244864537,2845083.2802025927,223452.6506684609,162052.06021681303,281285.4051243298,223452.6506684609,162052.06021681303,281285.4051243298,0.0,0.0,0.0,3024706.734054022
3,2022-06-30,2787105.331064563,2822183.122654706,3016967.4898136803,2742230.7886698213,2830209.5287621315,131633.35271766785,74910.5603098568,193280.32549462595,131633.35271766785,74910.5603098568,193280.32549462595,0.0,0.0,0.0,2918738.6837822306
4,2022-07-31,2772741.60330794,2499193.06157488,2700110.5418757186,2727474.8359844177,2814636.3004832324,-173365.92064919777,-234856.70350446194,-113264.77671495281,-173365.92064919777,-234856.70350446194,-113264.77671495281,0.0,0.0,0.0,2599375.682658742
5,2022-08-31,2756456.7607834814,2440278.2821587482,2632149.2023904817,2708849.6260928763,2799023.2400852223,-218749.55765306726,-278854.71251409175,-156241.77321651013,-218749.55765306726,-278854.71251409175,-156241.77321651013,0.0,0.0,0.0,2537707.2031304142
6,2022-09-30,2738588.105775715,2407819.5925977505,2632992.7954457183,2694396.0797577905,2785411.309350249,-213563.0533189594,-295750.3201037526,-136799.26673333292,-213563.0533189594,-295750.3201037526,-136799.26673333292,0.0,0.0,0.0,2525025.0524567557
7,2022-10-31,2718663.8467087024,2867481.179708233,3084940.098859892,2674042.7962133153,2768473.6113012256,258231.22784829742,184315.37755777515,341250.79570644896,258231.22784829742,184315.37755777515,341250.79570644896,0.0,0.0,0.0,2976895.074557
8,2022-11-30,2697576.615185357,2525751.3610930196,2744029.9443590385,2653992.583410227,2750544.2395167057,-60267.06658441493,-124606.70349517847,5070.613865867894,-60267.06658441493,-124606.70349517847,5070.613865867894,0.0,0.0,0.0,2637309.5486009424
9,2022-12-31,2674907.879923025,2595622.8469711007,2828189.0288076224,2626138.2385903955,2735022.8886029087,40641.7356139721,-39134.71563356331,133499.57588133455,40641.7356139721,-39134.71563356331,133499.57588133455,0.0,0.0,0.0,2715549.615536997
10,2023-01-31,2653234.1657047635,2476727.955151572,2695431.5584115763,2601885.0208502905,2710488.0440447624,-72905.69225441014,-162752.81148715317,20956.254254030748,-72905.69225441014,-162752.81148715317,20956.254254030748,0.0,0.0,0.0,2580328.4734503534
11,2023-02-28,2633498.977046993,2361901.25719432,2598461.328420906,2580787.677166406,2689849.294815183,-149282.5431985711,-248570.00294001555,-43485.225863651016,-149282.5431985711,-248570.00294001555,-43485.225863651016,0.0,0.0,0.0,2484216.433848422
12,2023-03-31,2612379.2491647056,2742161.2643088633,2960548.9868053226,2561310.4101066524,2666864.0540397475,238458.29776348543,154930.94126433437,323289.96475678234,238458.29776348543,154930.94126433437,323289.96475678234,0.0,0.0,0.0,2850837.546928191
13,2023-04-30,2592743.277232718,2633877.5825968217,2856239.00694019,2543669.716608122,2643518.282337035,152986.98253428153,76712.78072894395,240248.91832468283,152986.98253428153,76712.78072894395,240248.91832468283,0.0,0.0,0.0,2745730.2597669996
14,2023-05-31,2575821.0734115946,2691252.5347844698,2906168.714419638,2528911.901286045,2623058.5305980565,221567.2345019994,152992.4945943081,293359.129157548,221567.2345019994,152992.4945943081,293359.129157548,0.0,0.0,0.0,2797388.307913594
15,2023-06-30,2560741.0996422884,2591590.846472246,2809570.5016711387,2510735.8139992305,2608082.5558584174,138262.964450441,63541.80887625365,212860.823927941,138262.964450441,63541.80887625365,212860.823927941,0.0,0.0,0.0,2699004.0640927292
16,2023-07-31,2547850.745808832,2301481.7994957394,2519834.221716735,2500977.0312620066,2595964.8708356605,-132072.63642848778,-202023.16949536972,-65734.77788382412,-132072.63642848778,-202023.16949536972,-65734.77788382412,0.0,0.0,0.0,2415778.109380344
17,2023-08-31,2538229.9950519768,2268228.0503031667,2485038.064214388,2497652.935105731,2583995.8607192487,-161254.05148871962,-230935.86431389078,-93703.21782416379,-161254.05148871962,-230935.86431389078,-93703.21782416379,0.0,0.0,0.0,2376975.9435632573
18,2023-09-30,2534265.7891895855,2079413.0639380983,2316543.637022073,2494254.0207227683,2578771.9366719434,-333229.87458998413,-414090.9395775573,-241221.73470221364,-333229.87458998413,-414090.9395775573,-241221.73470221364,0.0,0.0,0.0,2201035.914599601
19,2023-10-31,2535628.8981090216,2605207.042865553,2840891.6160388696,2493037.5528606726,2581479.9537410904,185937.91347618776,96583.96352866718,264601.1364205457,185937.91347618776,96583.96352866718,264601.1364205457,0.0,0.0,0.0,2721566.8115852093
20,2023-11-30,2541052.8645385206,2506838.087616476,2720283.745244187,2499824.0342494254,2584169.180369112,71374.99329081342,-21955.970052103785,158404.1850255694,71374.99329081342,-21955.970052103785,158404.1850255694,0.0,0.0,0.0,2612427.857829334
21,2023-12-31,2549120.624389386,2512954.0475971787,2742403.122248292,2510242.018296703,2592747.232743462,75284.45847362632,-2216.7568994732,146982.1731788986,75284.45847362632,-2216.7568994732,146982.1731788986,0.0,0.0,0.0,2624405.0828630123
22,2024-01-31,2560636.5894983243,2312779.9488602667,2532677.329164044,2522290.8081731345,2602570.803061623,-124908.43315054894,-188180.16170553135,-56762.663304401576,-124908.43315054894,-188180.16170553135,-56762.663304401576,0.0,0.0,0.0,2435728.1563477754
23,2024-02-29,2573221.9854400777,2310542.1624811334,2548244.405842633,2533103.087362177,2612863.6162425694,-144817.88284606065,-229589.5920204629,-70007.48353197717,-144817.88284606065,-229589.5920204629,-70007.48353197717,0.0,0.0,0.0,2428404.102594017
24,2024-03-31,2587582.2591621196,2752330.8508542716,2963185.4115350503,2547297.603382757,2627244.6245483537,260709.98647996216,197563.32286147008,323357.0532049721,260709.98647996216,197563.32286147008,323357.0532049721,0.0,0.0,0.0,2848292.245642082
25,2024-04-30,2601479.298247967,2655451.4407263324,2871481.499201326,2554773.7250409694,2647460.124145333,168606.10474711453,102537.84458047703,235521.38267988138,168606.10474711453,102537.84458047703,235521.38267988138,0.0,0.0,0.0,2770085.4029950816
