,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2022-03-31,2913153.4049021252,2563111.390505751,3424039.7837921022,2747849.4703666996,3105548.7533210004,106949.246065087,-145154.90049004607,297156.24316260434,106949.246065087,-145154.90049004607,297156.24316260434,0.0,0.0,0.0,3020102.6509672124
1,2022-04-30,2894488.7968314835,2687648.6762177288,3303787.748170757,2743645.547984049,3090109.0976233287,111468.87458916307,-53003.72177651544,277482.02180038247,111468.87458916307,-53003.72177651544,277482.02180038247,0.0,0.0,0.0,3005957.6714206464
2,2022-05-31,2876042.9474634444,2770148.865278535,3431029.91375866,2720940.5854551424,3071217.595554277,169438.0257601865,-108892.37649719843,354499.7061824809,169438.0257601865,-108892.37649719843,354499.7061824809,0.0,0.0,0.0,3045480.973223631
3,2022-06-30,2857941.86116724,2645864.309553529,3204164.6960959663,2693091.4341300107,3047885.9949002624,73544.16461475407,-145557.11319391843,238312.3003591594,73544.16461475407,-145557.11319391843,238312.3003591594,0.0,0.0,0.0,2931486.025781994
4,2022-07-31,2839001.2194291074,2330665.1911742184,2980093.0615601637,2672031.1571003497,3022185.101147783,-268282.7149481241,-514507.74581278884,-44367.75617427781,-268282.7149481241,-514507.74581278884,-44367.75617427781,0.0,0.0,0.0,2570718.504480983
5,2022-08-31,2820138.0100694164,2181920.2529995693,2781700.7622050056,2655590.6109941425,2999862.0771341356,-291669.037038922,-637093.0603287177,-98794.81247953785,-291669.037038922,-637093.0603287177,-98794.81247953785,0.0,0.0,0.0,2528468.9730304945
6,2022-09-30,2801181.8527641734,2126986.220450717,2939724.763036454,2641408.765424603,2975600.901507572,-313293.60650414915,-628140.633368131,-45431.5143136382,-313293.60650414915,-628140.633368131,-45431.5143136382,0.0,0.0,0.0,2487888.246260024
7,2022-10-31,2781532.156654875,2560641.6236457266,3162811.7240725695,2621445.7265685513,2955157.1748787547,102326.97922111313,-263410.5611677236,397475.93875503016,102326.97922111313,-263410.5611677236,397475.93875503016,0.0,0.0,0.0,2883859.135875988
8,2022-11-30,2764323.5319289933,2445963.10404137,3210640.9521127683,2602967.485759428,2936699.995876148,-53598.47217771415,-197586.30667068332,142281.21454318002,-53598.47217771415,-197586.30667068332,142281.21454318002,0.0,0.0,0.0,2710725.059751279
9,2022-12-31,2746220.6534098117,2369152.4782843986,3179431.6180713885,2578947.1016072803,2917189.177878752,65621.16912539795,-112948.04054432205,236904.96303420796,65621.16912539795,-112948.04054432205,236904.96303420796,0.0,0.0,0.0,2811841.82253521
